KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-195,200.583733774,-42.8486904567,1,9.38,18.53,1.69,1.56,0.02,17.49,2.0,0.13,C,,1,candidate,3.8
KV19-196,200.607412461,-44.7188716966,1,3.5,15.56,1.58,1.93,0.0,14.81,3.5,0.0,E,,1,candidate,3.8
KV19-197,200.610740116,-43.8002794912,1,7.47,17.0,1.52,1.03,-0.13,15.93,2.5,0.02,D,,1,candidate,3.8
KV19-198,200.612585677,-44.029631834,1,5.26,13.18,1.49,,,,3.75,,D,,1,candidate,3.8
KV19-199,200.626202219,-44.8010119986,1,3.0,17.99,2.11,1.53,-0.05,16.88,,0.01,E,,1,candidate,3.8
KV19-200,200.629051473,-44.2619887348,1,4.92,17.8,1.7,1.13,0.0,17.0,2.5,0.26,C,,1,candidate,3.8
KV19-201,200.637428596,-43.7201235669,2,9.14,16.27,1.98,1.5,-0.14,14.88,3.25,0.0,E,,1,candidate,3.8
KV19-202,200.639877379,-41.745282877,1,5.32,15.77,1.51,2.76,0.3,14.99,3.75,0.0,E,,1,candidate,3.8
KV19-203,200.656158933,-43.9090153212,1,3.75,17.36,1.74,1.49,0.0,16.35,2.38,0.12,C,,1,candidate,3.8
KV19-204,200.676763373,-43.9747845054,1,3.07,17.3,2.19,1.51,-0.01,16.09,2.25,0.07,D,,1,candidate,3.8
KV19-205,200.694581452,-45.2546550629,1,2.42,11.23,2.45,,,,4.0,,E,,1,candidate,3.8
KV19-206,200.73790411,-43.4968228926,1,8.6,16.93,1.52,1.59,-0.08,15.76,1.62,0.0,D,,1,candidate,3.8
KV19-207,200.756068978,-44.472904653,1,7.78,16.4,1.65,1.79,-0.18,15.37,3.5,0.0,E,,1,candidate,3.8
KV19-208,200.759647548,-44.7062279199,1,10.25,15.78,2.53,,,,3.5,,D,,1,candidate,3.8
KV19-209,200.759893922,-44.7061428757,1,6.39,15.64,2.28,,,,4.5,,E,,1,candidate,3.8
KV19-210,200.772934547,-44.2463105255,1,14.62,18.35,4.81,,,,4.0,,E,,1,candidate,3.8
KV19-211,200.777419405,-41.3773404575,1,9.14,18.87,4.28,,,,4.0,,E,,1,candidate,3.8
